title,publish_time,authors
,2015-12-02,"Zhang, Yaowen; Yuan, Lichao; Zhang, Yongming; Zhang, Xiuping; Zheng, Minghuan; Kyaw, Moe H"
,2015-12-11,"Johnson, Sara M.; McNally, Beth A.; Ioannidis, Ioannis; Flano, Emilio; Teng, Michael N.; Oomens, Antonius G.; Walsh, Edward E.; Peeples, Mark E."
,2015-11-24,"Bae, Jong-Myon"
,2015-11-25,"Oh, Hyang Soon; Uhm, Dong Choon"
,2015-11-30,"Cho, Sung-il"
,2015-11-30,"Kim, Dong-Hyun"
,2015-11-25,"Lee, Sang-il"
,2015-12-10,"Sambursky, Robert; Shapiro, Nathan"
,2015-12-14,"Zhao, Xueqiang; Kong, Jing; Zhao, Yuxia; Wang, Xuping; Bu, Peili; Zhang, Cheng; Zhang, Yun"
,2015-12-08,"Mondal, Shakhinur Islam; Ferdous, Sabiha; Jewel, Nurnabi Azad; Akter, Arzuba; Mahmud, Zabed; Islam, Md Muzahidul; Afrin, Tanzila; Karim, Nurul"
,2016-01-01,"van Griensven, Johan; De Weiggheleire, Anja; Delamou, Alexandre; Smith, Peter G.; Edwards, Tansy; Vandekerckhove, Philippe; Bah, Elhadj Ibrahima; Colebunders, Robert; Herve, Isola; Lazaygues, Catherine; Haba, Nyankoye; Lynen, Lutgarde"
,2015-11-24,"Patil, Satish; Lis, Lev G.; Schumacher, Robert
J.; Norris, Beverly J.; Morgan, Monique L.; Cuellar, Rebecca A. D.; Blazar, Bruce R.; Suryanarayanan, Raj; Gurvich, Vadim J.; Georg, Gunda I."
,2015-11-10,"Zuo, Guanghong; Hao, Bailin"
,2015-11-03,"Van Wesenbeeck, Liesbeth; D'Haese, David; Tolboom, Jeroen; Meeuws, Hanne; Dwyer, Dominic E.; Holmes, Mark; Ison, Michael G.; Katz, Kevin; McGeer, Allison; Sadoff, Jerald; Weverling, Gerrit Jan; Stuyver, Lieven"
,2015-08-10,"Wang, Jing; Moore, Nicole E.; Murray, Zak L.; McInnes, Kate; White, Daniel J.; Tompkins, Daniel M.; Hall, Richard J."
,2015-07-07,"de Steenhuijsen Piters, Wouter A A; Huijskens, Elisabeth G W; Wyllie, Anne L; Biesbroek, Giske; van den Bergh, Menno R; Veenhoven, Reinier H; Wang, Xinhui; Trzciński, Krzysztof; Bonten, Marc J; Rossen, John W A; Sanders, Elisabeth A M; Bogaert, Debby"
,2015-12-14,"Xu, Jianhua; Peng, Zongchao"
,2015-12-14,"Ho, Bo-Lin; Cheng, Shu-Chun; Shi, Lin; Wang, Ting-Yun; Ho, Kuan-I; Chou, Chi-Yuan"
,2015-12-16,"Au, Heng-Kien; Chang, Jui-Hung; Wu, Yu-Chih; Kuo, Yung-Che; Chen, Yu-Hsi; Lee, Wei-Chin; Chang, Te-Sheng; Lan, Pei-Chi; Kuo, Hung-Chih; Lee, Kha-Liang; Lee, Mei-Tsu; Tzeng, Chii-Ruey; Huang, Yen-Hua"
,2015-12-18,"Roberts, Joanna D.; Thapaliya, Arjun; Martínez-Lumbreras, Santiago; Krysztofinska, Ewelina M.; Isaacson, Rivka L."
,2015-12-17,"Li, Renfeng; Tian, Xiangqin; Qiao, Songlin; Guo, Junqing; Xie, Weitao; Zhang, Gaiping"
,2015-12-18,"Guo, Song; Kierzek, Elzbieta; Chen, Gang; Zhou, Yi-Jun; Wong, Sek-Man"
,2015-12-18,"Streng, Andrea; Prifert, Christiane; Weissbrich, Benedikt; Liese, Johannes G."
,2015-12-17,"Lei, Qifang; Liu, Haibo; Peng, Yong; Xiao, Peigen"
,2015-12-18,"Reeves, Tarian; Samy, Abdallah M.; Peterson, A. Townsend"
,2015-11-23,"ZHANG, NAICHUN; DENG, JIANNING; WU, FENGYAO; LU, XIANGCHAN; HUANG, LEI; ZHAO, MIN"
,2015-12-22,"Salameh, Aida; Dhein, Stefan"
,2015-12-22,"Kenyon, Lawrence C.; Biswas, Kaushiki; Shindler, Kenneth S.; Nabar, Manasi; Stout, Marjorie; Hingley, Susan T.; Grinspan, Judith B.; Das Sarma, Jayasri"
,2015-12-22,"Li, Xin-Lou; Yang, Yang; Sun, Ye; Chen, Wan-Jun; Sun, Ruo-Xi; Liu, Kun; Ma, Mai-Juan; Liang, Song; Yao, Hong-Wu; Gray, Gregory C.; Fang, Li-Qun; Cao, Wu-Chun"
,2015-12-21,"Xia, Zhi-Qiang; Zhang, Juan; Xue, Ya-Kui; Sun, Gui-Quan; Jin, Zhen"
,2015-12-22,"Lau, Susanna K. P.; Chan, Jasper F. W."
,2015-12-22,"Ching, Travers; Masaki, Jayson; Weirather, Jason; Garmire, Lana X."
,2015-12-22,"Zhou, Jie; Chu, Hin; Chan, Jasper Fuk-Woo; Yuen, Kwok-Yung"
,2015-12-22,"Lee, Changhee"
,2015-12-21,"Nesina, Stefanie; Katrin Helfer-Hungerbuehler, A.; Riond, Barbara; Boretti, Felicitas S.; Willi, Barbara; Meli, Marina L.; Grest, Paula; Hofmann-Lehmann, Regina"
,2015-12-22,"Hu, Ben; Ge, Xingyi; Wang, Lin-Fa; Shi, Zhengli"
,2015-12-22,"Mackay, Ian M.; Arden, Katherine E."
,2015-12-21,"Harada, Kazuki; Shimizu, Takae; Tsuka, Takeshi; Imagawa, Tomohiro; Takeuchi, Takashi"
,2015-12-11,"van Asten, Liselotte; Bijkerk, Paul; Fanoy, Ewout; van Ginkel, Annemarijn; Suijkerbuijk, Anita; van der Hoek, Wim; Meijer, Adam; Vennema, Harry"
,2015-12-11,"Murray, Meghan T.; Heitkemper, Elizabeth; Jackson, Olivia; Neu, Natalie; Stone, Patricia; Cohen, Bevin; Saiman, Lisa; Hutcheon, Gordon; Larson, Elaine L."
,2015-12-22,"Bénet, Thomas; Sylla, Mariam; Messaoudi, Mélina; Sánchez Picot, Valentina; Telles, Jean-Noël; Diakite, Abdoul-Aziz; Komurian-Pradel, Florence; Endtz, Hubert; Diallo, Souleymane; Paranhos-Baccalà, Gláucia; Vanhems, Philippe"
,2015-12-23,"Zhao, Guangyu; Jiang, Yuting; Qiu, Hongjie; Gao, Tongtong; Zeng, Yang; Guo, Yan; Yu, Hong; Li, Junfeng; Kou, Zhihua; Du, Lanying; Tan, Wenjie; Jiang, Shibo; Sun, Shihui; Zhou, Yusen"
,2015-11-30,"Cha, Ran-hui; Joh, Joon-Sung; Jeong, Ina; Lee, Ji Yeon; Shin, Hyoung-Shik; Kim, Gayeon; Kim, Yeonjae"
,2015-12-17,"Hsieh, Ying-Hen"
,2015-12-14,"Gerdol, Marco; De Moro, Gianluca; Venier, Paola; Pallavicini, Alberto"
,2015-12-23,"Chua, Amelia ZE; Lo, Daryl YK; Ho, Wilbert HH; Koh, Yun Qing; Lim, Daniel SY; Tam, John KC; Liaw, Sok Ying; Koh, Gerald CH"
,2015-11-26,"Claus, Claudia; Manssen, Lena; Hübner, Denise; Roßmark, Sarah; Bothe, Viktoria; Petzold, Alice; Große, Claudia; Reins, Mareen; Mankertz, Annette; Frey, Teryl K.; Liebert, Uwe G."
,2015-12-02,"Goffard, Anne; Demanche, Christine; Arthur, Laurent; Pinçon, Claire; Michaux, Johan; Dubuisson, Jean"
,2015-12-03,"Romero-Brey, Inés; Bartenschlager, Ralf"
,2015-12-08,"L’Huillier, Arnaud G.; Kaiser, Laurent; Petty, Tom J.; Kilowoko, Mary; Kyungu, Esther; Hongoa, Philipina; Vieille, Gaël; Turin, Lara; Genton, Blaise; D’Acremont, Valérie; Tapparel, Caroline"
,2015-12-08,"Ng, Qingyong; He, Fang; Kwang, Jimmy"
,2015-12-10,"Swaine, Thomas; Dittmar, Matthias T."
,2015-12-11,"Cooper, Rebecca S.; Heldwein, Ekaterina E."
,2015-12-15,"Berry, Michael; Fielding, Burtram C.; Gamieldien, Junaid"
,2015-12-17,"Wu, Yi-Hsuan; Chiu, Daniel Tsun-Yee; Lin, Hsin-Ru; Tang, Hsiang-Yu; Cheng, Mei-Ling; Ho, Hung-Yao"
,2015-11-24,"Perrone, Rosalba; Doria, Filippo; Butovskaya, Elena; Frasson, Ilaria; Botti, Silvia; Scalabrin, Matteo; Lago, Sara; Grande, Vincenzo; Nadai, Matteo; Freccero, Mauro; Richter, Sara N."
,2015-11-27,"Ibi, Daisuke; Yamada, Kiyofumi"
,2015-12-02,"Yao, Jian; Weng, Yunqi; Dickey, Alexia; Wang, Kevin Yueju"
,2015-12-28,"Beam, Andrea; Goede, Dane; Fox, Andrew; McCool, Mary Jane; Wall, Goldlin; Haley, Charles; Morrison, Robert"
,2015-12-15,"Neves, Fabiana; Abrantes, Joana; Almeida, Tereza; Costa, Paulo P.; Esteves, Pedro J."
,2015-11-20,"Leguia, Mariana; Loyola, Steev; Rios, Jane; Juarez, Diana; Guevara, Carolina; Silva, Maria; Prieto, Karla; Wiley, Michael; Kasper, Matthew R.; Palacios, Gustavo; Bausch, Daniel G."
,2015-11-05,"Zhang, Huimin; Ravcheev, Dmitry A.; Hu, Dan; Zhang, Fengyu; Gong, Xiufang; Hao, Lina; Cao, Min; Rodionov, Dmitry A.; Wang, Changjun; Feng, Youjun"
,2015-09-25,"Bütepage, Mareike; Eckei, Laura; Verheugd, Patricia; Lüscher, Bernhard"
,2015-12-29,"Degeling, Chris; Johnson, Jane; Kerridge, Ian; Wilson, Andrew; Ward, Michael; Stewart, Cameron; Gilbert, Gwendolyn"
,2015-12-30,"Steinrigl, Adolf; Revilla Fernández, Sandra; Stoiber, Friedrich; Pikalo, Jutta; Sattler, Tatjana; Schmoll, Friedrich"
,2015-12-30,"Gunn, L.; Collins, P. J.; O’Connell, M. J.; O’Shea, H."
,2015-12-29,"Kilianski, Andy; Carcel, Patrick; Yao, Shijie; Roth, Pierce; Schulte, Josh; Donarum, Greg B.; Fochler, Ed T.; Hill, Jessica M.; Liem, Alvin T.; Wiley, Michael R.; Ladner, Jason T.; Pfeffer, Bradley P.; Elliot, Oliver; Petrosov, Alexandra; Jima, Dereje D.; Vallard, Tyghe G.; Melendrez, Melanie C.; Skowronski, Evan; Quan, Phenix-Lan; Lipkin, W. Ian; Gibbons, Henry S.; Hirschberg, David L.; Palacios, Gustavo F.; Rosenzweig, C. Nicole"
,2015-12-27,"Gordon, Julian; Gandhi, Prasanthi; Shekhawat, Gajendra; Frazier, Angel; Hampton-Marcell, Jarrad; Gilbert, Jack A."
,2016-01-10,"Boniotti, M. Beatrice; Papetti, Alice; Lavazza, Antonio; Alborali, Giovanni; Sozzi, Enrica; Chiapponi, Chiara; Faccini, Silvia; Bonilauri, Paolo; Cordioli, Paolo; Marthaler, Douglas"
,2016-01-10,"Lau, Joseph T.F.; Wang, Zixin; Kim, Yoona; Gu, Jing; Wu, Anise M.S.; Zhou, Qianling; Hao, Chun; Cheng, Perry; Hao, Yuantao"
,2016-01-10,"Kim, Dae-Won; Kim, You-Jin; Park, Sung Han; Yun, Mi-Ran; Yang, Jeong-Sun; Kang, Hae Ji; Han, Young Woo; Lee, Han Saem; Man Kim, Heui; Kim, Hak; Kim, A-Reum; Heo, Deok Rim; Kim, Su Jin; Jeon, Jun Ho; Park, Deokbum; Kim, Joo Ae; Cheong, Hyang-Min; Nam, Jeong-Gu; Kim, Kisoon; Kim, Sung Soon"
,2016-01-10,"Alraddadi, Basem M.; Watson, John T.; Almarashi, Abdulatif; Abedi, Glen R.; Turkistani, Amal; Sadran, Musallam; Housa, Abeer; Almazroa, Mohammad A.; Alraihan, Naif; Banjar, Ayman; Albalawi, Eman; Alhindi, Hanan; Choudhry, Abdul Jamil; Meiman, Jonathan G.; Paczkowski, Magdalena; Curns, Aaron; Mounts, Anthony; Feikin, Daniel R.; Marano, Nina; Swerdlow, David L.; Gerber, Susan I.; Hajjeh, Rana; Madani, Tariq A."
,2016-01-10,"Assiri, Abdullah; Abedi, Glen R.; Saeed, Abdulaziz A. Bin; Abdalla, Mutwakil A.; al-Masry, Malak; Choudhry, Abdul Jamil; Lu, Xiaoyan; Erdman, Dean D.; Tatti, Kathleen; Binder, Alison M.; Rudd, Jessica; Tokars, Jerome; Miao, Congrong; Alarbash, Hussain; Nooh, Randa; Pallansch, Mark; Gerber, Susan I.; Watson, John T."
,2016-01-10,"Nishiura, Hiroshi; Miyamatsu, Yuichiro; Mizumoto, Kenji"
,2016-01-10,"Siebrasse, Erica A.; Nguyen, Nang L.; Willby, Melisa J.; Erdman, Dean D.; Menegus, Marilyn A.; Wang, David"
,2016-01-10,"Shehata, Mahmoud M.; Chu, Daniel K.W.; Gomaa, Mokhtar R.; AbiSaid, Mounir; El Shesheny, Rabeh; Kandeil, Ahmed; Bagato, Ola; Chan, Samuel M.S.; Barbour, Elie K.; Shaib, Houssam S.; McKenzie, Pamela P.; Webby, Richard J.; Ali, Mohamed A.; Peiris, Malik; Kayali, Ghazi"
,2015-12-30,"Luheshi, Leila M.; Raza, Sobia; Peacock, Sharon J."
,2015-12-31,"Kim, Khae Hawn"
,2015-12-30,"Khan, Nomana M.; Jentes, Emily S.; Brown, Clive; Han, Pauline; Rao, Sowmya R.; Kozarsky, Phyllis; Hagmann, Stefan H.F.; LaRocque, Regina C.; Ryan, Edward T."
,2015-12-14,"Ouyang, Kang; Shyu, Duan-Liang; Dhakal, Santosh; Hiremath, Jagadish; Binjawadagi, Basavaraj; Lakshmanappa, Yashavanth S.; Guo, Rui; Ransburgh, Russell; Bondra, Kathryn M.; Gauger, Phillip; Zhang, Jianqiang; Specht, Terry; Gilbertie, Aaron; Minton, William; Fang, Ying; Renukaradhya, Gourapura J."
,2015-12-18,"Fan, Yu; Wang, Ye; Wang, Ke"
,2015-09-24,"Rabaa, Maia A.; Tue, Ngo Tri; Phuc, Tran My; Carrique-Mas, Juan; Saylors, Karen; Cotten, Matthew; Bryant, Juliet E.; Nghia, Ho Dang Trung; Cuong, Nguyen Van; Pham, Hong Anh; Berto, Alessandra; Phat, Voong Vinh; Dung, Tran Thi Ngoc; Bao, Long Hoang; Hoa, Ngo Thi; Wertheim, Heiman; Nadjm, Behzad; Monagin, Corina; van Doorn, H. Rogier; Rahman, Motiur; Tra, My Phan Vu; Campbell, James I.; Boni, Maciej F.; Tam, Pham Thi Thanh; van der Hoek, Lia; Simmonds, Peter; Rambaut, Andrew; Toan, Tran Khanh; Van Vinh Chau, Nguyen; Hien, Tran Tinh; Wolfe, Nathan; Farrar, Jeremy J.; Thwaites, Guy; Kellam, Paul; Woolhouse, Mark E. J.; Baker, Stephen"
,2015-09-16,"van Gestel, Renske A.; Brouwers, Jos F.; Ultee, Anton; Helms, J. Bernd; Gadella, Bart M."
,2015-12-08,"Mazet, Jonna A. K.; Wei, Qin; Zhao, Guoping; Cummings, Derek A. T.; Desmond, James Stephen; Rosenthal, Joshua; King, Charles H.; Cao, Wuchun; Chmura, Aleksei A.; Hagan, Emily A.; Zhang, Shuyi; Xiao, Xiangming; Xu, Jianguo; Shi, Zhengli; Feng, Feng; Liu, Xiuping; Pan, Weiqing; Zhu, Guangjian; Zuo, Liyao; Daszak, Peter"
,2016-01-04,"León-Juárez, Moisés; Martínez-Castillo, Macario; Shrivastava, Gaurav; García-Cordero, Julio; Villegas-Sepulveda, Nicolás; Mondragón-Castelán, Mónica; Mondragón-Flores, Ricardo; Cedillo-Barrón, Leticia"
,2016-01-05,"Huang, Chih-Wei; Lin, Hui-Chen; Chou, Chi-Yuan; Kao, Wei-Chuo; Chou, Wei-Yuan; Lee, Hwei-Jen"
,2015-12-17,"Lin, Huayuan; Huang, Qiqi; Guo, Xiaoquan; Liu, Ping; Liu, Weilian; Zou, Yuelong; Zhu, Shuliang; Deng, Guangfu; Kuang, Jun; Zhang, Caiying; Cao, Huabin; Hu, Guoliang"
,2015-12-17,"Kim, Nam-Gun; Kim, Myeong-Ae; Park, Young-Il; Jung, Tae-Sung; Son, Seong-Wan; So, ByungJae; Kang, Hwan-Goo"
,2015-12-15,"Mateo, Roberto; Nagamine, Claude M.; Kirkegaard, Karla"
,2016-01-06,"Kim, Jin Il; Kim, You-Jin; Lemey, Philippe; Lee, Ilseob; Park, Sehee; Bae, Joon-Yong; Kim, Donghwan; Kim, Hyejin; Jang, Seok-Il; Yang, Jeong-Sun; Kim, Hak; Kim, Dae-Won; Nam, Jeong-Gu; Kim, Sung Soon; Kim, Kisoon; Myun Lee, Jae; Song, Man Ki; Song, Daesub; Chang, Jun; Hong, Kee-Jong; Bae, Yong-Soo; Song, Jin-Won; Lee, Joo-Shil; Park, Man-Seong"
,2015-12-17,"Li, Hai; Wang, Fengjie; Han, Zongxi; Gao, Qi; Li, Huixin; Shao, Yuhao; Sun, Nana; Liu, Shengwang"
,2016-01-04,"O'Leary, Nuala A.; Wright, Mathew W.; Brister, J. Rodney; Ciufo, Stacy; Haddad, Diana; McVeigh, Rich; Rajput, Bhanu; Robbertse, Barbara; Smith-White, Brian; Ako-Adjei, Danso; Astashyn, Alexander; Badretdin, Azat; Bao, Yiming; Blinkova, Olga; Brover, Vyacheslav; Chetvernin, Vyacheslav; Choi, Jinna; Cox, Eric; Ermolaeva, Olga; Farrell, Catherine M.; Goldfarb, Tamara; Gupta, Tripti; Haft, Daniel; Hatcher, Eneida; Hlavina, Wratko; Joardar, Vinita S.; Kodali, Vamsi K.; Li, Wenjun; Maglott, Donna; Masterson, Patrick; McGarvey, Kelly M.; Murphy, Michael R.; O'Neill, Kathleen; Pujar, Shashikant; Rangwala, Sanjida H.; Rausch, Daniel; Riddick, Lillian D.; Schoch, Conrad; Shkeda, Andrei; Storz, Susan S.; Sun, Hanzhen; Thibaud-Nissen, Francoise; Tolstoy, Igor; Tully, Raymond E.; Vatsan, Anjana R.; Wallin, Craig; Webb, David; Wu, Wendy; Landrum, Melissa J.; Kimchi, Avi; Tatusova, Tatiana; DiCuccio, Michael; Kitts, Paul; Murphy, Terence D.; Pruitt, Kim D."
,2016-01-04,
,2015-12-14,"Wiechmann, Warren; Toohey, Shannon; Majestic, Cassandra; Boysen-Osborn, Megan"
,2015-04-29,"Glennie, S; Gritzfeld, J F; Pennington, S H; Garner-Jones, M; Coombes, N; Hopkins, M J; Vadesilho, C F; Miyaji, E N; Wang, D; Wright, A D; Collins, A M; Gordon, S B; Ferreira, D M"
,2015-12-01,"Fu, Naifang; Wu, Juncai; Lv, Lv; He, Jijun; Jiang, Shengjun"
,2015-09-10,"Borisevich, Viktoriya; Lee, Benhur; Hickey, Andrew; DeBuysscher, Blair; Broder, Christopher C.; Feldmann, Heinz; Rockx, Barry"
,2016-01-08,"Hu, Hao-Teng; Cho, Che-Pei; Lin, Ya-Hui; Chang, Kung-Yao"
,2016-01-08,"Mancinelli, Livia; Onori, Manuela; Concato, Carlo; Sorge, Roberto; Chiavelli, Stefano; Coltella, Luana; Raucci, Umberto; Reale, Antonio; Menichella, Donato; Russo, Cristina"
,2016-01-08,"Toh, Zhi Yon Charles; Thandar Aung-Htut, May; Pinniger, Gavin; Adams, Abbie M.; Krishnaswarmy, Sudarsan; Wong, Brenda L.; Fletcher, Sue; Wilton, Steve D."
,2015-11-12,"Fisher, Cynthia E.; Preiksaitis, Carl M.; Lease, Erika D.; Edelman, Jeffrey; Kirby, Katharine A.; Leisenring, Wendy M.; Raghu, Ganesh; Boeckh, Michael; Limaye, Ajit P."
,2015-07-28,"Wang, Mingyang; Veit, Michael"
,2016-01-06,"Vargas, Celibell Y; Wang, Liqun; Castellanos de Belliard, Yaritza; Morban, Maria; Diaz, Hilbania; Larson, Elaine L; LaRussa, Philip; Saiman, Lisa; Stockwell, Melissa S"
,2016-01-05,"Cai, Yuee; Zhang, Wenji; Chen, Zirong; Shi, Zhi; He, Chengwei; Chen, Meiwan"
,2016-01-11,"Gruse, Jeannine; Kanitz, Ellen; Weitzel, Joachim M.; Tuchscherer, Armin; Stefaniak, Tadeusz; Jawor, Paulina; Wolffram, Siegfried; Hammon, Harald M."
,2016-01-11,"Singh, Shakti; Vedi, Satish; Samrat, Subodh Kumar; Li, Wen; Kumar, Rakesh; Agrawal, Babita"
,2015-12-23,"Ng, Melinda; Ndungo, Esther; Kaczmarek, Maria E; Herbert, Andrew S; Binger, Tabea; Kuehne, Ana I; Jangra, Rohit K; Hawkins, John A; Gifford, Robert J; Biswas, Rohan; Demogines, Ann; James, Rebekah M; Yu, Meng; Brummelkamp, Thijn R; Drosten, Christian; Wang, Lin-Fa; Kuhn, Jens H; Müller, Marcel A; Dye, John M; Sawyer, Sara L; Chandran, Kartik"
,2016-01-12,"Dai, Manman; Feng, Min; Ye, Yu; Wu, Xiaochan; Liu, Di; Liao, Ming; Cao, Weisheng"
,2016-01-11,"Rebora, Paola; Antolini, Laura; Glidden, David V.; Valsecchi, Maria Grazia"
,2016-01-11,"Ruiz, Vera L. A.; Bersano, Josete G.; Carvalho, Aline F.; Catroxo, Márcia H. B.; Chiebao, Daniela P.; Gregori, Fábio; Miyashiro, Simone; Nassar, Alessandra F. C.; Oliveira, Trícia M. F. S.; Ogata, Renato A.; Scarcelli, Eliana P.; Tonietti, Paloma O."
,2016-01-11,"Heaton, Steven M.; Borg, Natalie A.; Dixit, Vishva M."
,2016-01-12,"Bracht, Alexa J.; O’Hearn, Emily S.; Fabian, Andrew W.; Barrette, Roger W.; Sayed, Abu"
,2016-01-12,"Preira, Pascal; Forel, Jean-Marie; Robert, Philippe; Nègre, Paulin; Biarnes-Pelicot, Martine; Xeridat, Francois; Bongrand, Pierre; Papazian, Laurent; Theodoly, Olivier"
,2016-01-05,"Markosyan, Ruben M.; Miao, Chunhui; Zheng, Yi-Min; Melikyan, Gregory B.; Liu, Shan-Lu; Cohen, Fredric S."
,2016-01-05,"Buß, O.; Jager, S.; Dold, S. -M.; Zimmermann, S.; Hamacher, K.; Schmitz, K.; Rudat, J."
,2015-07-20,"Liu, Qiang; Zhou, Yuan-hong; Yang, Zhan-qiu"
,2014-12-29,"Wong, Mun-Teng; Chen, Steve S-L"
,2016-01-08,"Zhang, Xianming; Wu, Weiliang; Zhu, Yongcheng; Jiang, Ying; Du, Juan; Chen, Rongchang"
,2015-12-18,"Lee, Mi-Kyung; Kim, Sinyoung; Kim, Mi-Na; Kweon, Oh Joo; Lim, Yong Kwan; Ki, Chang-Seok; Kim, Jae-Seok; Seong, Moon-Woo; Sung, Heungsup; Yong, Dongeun; Lee, Hyukmin; Choi, Jong-Rak; Kim, Jeong-Ho"
,2016-01-15,"Brodszki, Nicholas; Turkiewicz, Dominik; Toporski, Jacek; Truedsson, Lennart; Dykes, Josefina"
,2016-01-15,"Walker, Lia R.; Hussein, Hosni A. M.; Akula, Shaw M."
,2010-01-01,"Danthi, Pranav; Guglielmi, Kristen M.; Kirchner, Eva; Mainou, Bernardo; Stehle, Thilo; Dermody, Terence S."
,2016-01-15,"Lin, Jung-Da; Lin, Chuen-Fu; Chung, Wen-Bin; Chiou, Ming-Tang; Lin, Chao-Nan"
,2016-01-15,"Wang, Xinyu; Li, Chunqiu; Guo, Donghua; Wang, Xinyu; Wei, Shan; Geng, Yufei; Wang, Enyu; Wang, Zhihui; Zhao, Xiwen; Su, Mingjun; Liu, Qiujin; Zhang, Siyao; Feng, Li; Sun, Dongbo"
,2015-12-02,"Liu, Renqiang; Wen, Zhiyuan; Wang, Jinling; Ge, Jinying; Chen, Hualan; Bu, Zhigao"
,2015-12-02,"Wernery, Ulrich; Rasoul, IHassab El; Wong, Emily YM; Joseph, Marina; Chen, Yixin; Jose, Shanty; Tsang, Alan KL; Patteril, Nissy Annie Georgy; Chen, Honglin; Elizabeth, Shyna K; Yuen, Kwok-Yung; Joseph, Sunitha; Xia, Ningshao; Wernery, Renate; Lau, Susanna KP; Woo, Patrick CY"
,2015-12-30,
,2015-12-30,"Song, Joon Young; Cheong, Hee Jin; Choi, Min Joo; Jeon, Ji Ho; Kang, Seong Hee; Jeong, Eun Ju; Yoon, Jin Gu; Lee, Saem Na; Kim, Sung Ran; Noh, Ji Yun; Kim, Woo Joo"
,2015-12-30,"Kim, Jin Yong; Song, Joon Young; Yoon, Young Kyung; Choi, Seong-Ho; Song, Young Goo; Kim, Sung-Ran; Son, Hee-Jung; Jeong, Sun-Young; Choi, Jung-Hwa; Kim, Kyung Mi; Yoon, Hee Jung; Choi, Jun Yong; Kim, Tae Hyong; Choi, Young Hwa; Kim, Hong Bin; Yoon, Ji Hyun; Lee, Jacob; Eom, Joong Sik; Lee, Sang-Oh; Oh, Won Sup; Choi, Jung-Hyun; Yoo, Jin-Hong; Kim, Woo Joo; Cheong, Hee Jin"
,2016-01-01,"Xiao, Kai; Yu, Zhengyuan; Li, Xiayu; Li, Xiaoling; Tang, Ke; Tu, Chaofeng; Qi, Peng; Liao, Qianjin; Chen, Pan; Zeng, Zhaoyang; Li, Guiyuan; Xiong, Wei"
,2016-01-19,"Izumida, Mai; Kamiyama, Haruka; Suematsu, Takashi; Honda, Eri; Koizumi, Yosuke; Yasui, Kiyoshi; Hayashi, Hideki; Ariyoshi, Koya; Kubo, Yoshinao"
,2016-01-19,"Esen, Nilufer; Katyshev, Vladimir; Serkin, Zakhar; Katysheva, Svetlana; Dore-Duffy, Paula"
,2016-01-19,"Wu, Chien-Hsun; Liu, I-Ju; Lu, Ruei-Min; Wu, Han-Chung"
,2015-08-20,"Zheng, Ya-Li; Gao, Zhan-Cheng"
,2015-12-09,"Böl, Gaby‐Fleur"
,2016-01-20,"Pérez, Sandra; Laperrière, Vincent; Borderon, Marion; Padilla, Cindy; Maignant, Gilles; Oliveau, Sébastien"
,2016-01-13,"Richter, Jan; Panayiotou, Christakis; Tryfonos, Christina; Koptides, Dana; Koliou, Maria; Kalogirou, Nikolas; Georgiou, Eleni; Christodoulou, Christina"
,2015-10-23,"Hilimire, Thomas
A.; Bennett, Ryan P.; Stewart, Ryan A.; Garcia-Miranda, Pablo; Blume, Alex; Becker, Jordan; Sherer, Nathan; Helms, Eric D.; Butcher, Samuel E.; Smith, Harold C.; Miller, Benjamin L."
,2016-01-20,"Borucki, Monica K.; Lao, Victoria; Hwang, Mona; Gardner, Shea; Adney, Danielle; Munster, Vincent; Bowen, Richard; Allen, Jonathan E."
,2016-01-06,"Choi, Won Jin; Lee, Ki-Nam; Kang, Eun-Ju; Lee, Hyuck"
,2015-12-17,"Mayank, A K; Sharma, S; Nailwal, H; Lal, S K"
,2016-01-08,"Webster, Joanne P.; Gower, Charlotte M.; Knowles, Sarah C. L.; Molyneux, David H.; Fenton, Andy"
,2015-07-14,"Self, Wesley H.; Williams, Derek J.; Zhu, Yuwei; Ampofo, Krow; Pavia, Andrew T.; Chappell, James D.; Hymas, Weston C.; Stockmann, Chris; Bramley, Anna M.; Schneider, Eileen; Erdman, Dean; Finelli, Lyn; Jain, Seema; Edwards, Kathryn M.; Grijalva, Carlos G."
,2015-11-02,"Yang, Lei; Yang, Changqing; Li, Chenyi; Zhao, Qing; Liu, Ling; Fang, Xin; Chen, Xiao-Ya"
,2015-11-14,"Park, Yong-Shik; Lee, Changhwan; Kim, Kyung Min; Kim, Seung Woo; Lee, Keon-Joo; Ahn, Jungmo; Ki, Moran"
,2015-11-17,"Kim, Joung Soon"
,2016-01-01,"Paquin, Ashley; Onabajo, Olusegun O.; Tang, Wei; Prokunina-Olsson, Ludmila"
,2016-01-22,"Yu, Yvonne Ting-Chun; Chien, Ssu-Chia; Chen, I-Yin; Lai, Chia-Tsen; Tsay, Yeou-Guang; Chang, Shin C.; Chang, Ming-Fu"
,2016-01-22,"Suwannarong, Kanokwan; Schuler, Sidney"
,2016-01-05,"Beall, Anne; Yount, Boyd; Lin, Chun-Ming; Hou, Yixuan; Wang, Qiuhong; Saif, Linda; Baric, Ralph"
,2016-01-14,"Gillespie, Leah; Roosendahl, Paula; Ng, Wy Ching; Brooks, Andrew G.; Reading, Patrick C.; Londrigan, Sarah L."
